,Date,Symbol,close_price,medrv
2106,07/19/2022,7Yr,3.11,0
2107,07/20/2022,7Yr,3.15,0
2108,07/21/2022,7Yr,2.99,0
2109,07/22/2022,7Yr,2.85,0
2110,07/25/2022,7Yr,2.89,0
2111,07/26/2022,7Yr,2.88,0
2112,07/27/2022,7Yr,2.83,0
2113,07/28/2022,7Yr,2.69,0
2114,07/29/2022,7Yr,2.7,0
2115,08/01/2022,7Yr,2.64,0
2116,08/02/2022,7Yr,2.82,0
2117,08/03/2022,7Yr,2.81,0
2118,08/04/2022,7Yr,2.73,0
2119,08/05/2022,7Yr,2.91,0
2120,08/08/2022,7Yr,2.85,0
2121,08/09/2022,7Yr,2.89,0
2122,08/10/2022,7Yr,2.86,0
2123,08/11/2022,7Yr,2.94,0
2124,08/12/2022,7Yr,2.92,0
2125,08/15/2022,7Yr,2.86,0
2126,08/16/2022,7Yr,2.9,0
2127,08/17/2022,7Yr,2.99,0
2128,08/18/2022,7Yr,2.97,0
2129,08/19/2022,7Yr,3.06,0
2130,08/22/2022,7Yr,3.12,0
2131,08/23/2022,7Yr,3.14,0
2132,08/24/2022,7Yr,3.2,0
2133,08/25/2022,7Yr,3.11,0
2134,08/26/2022,7Yr,3.14,0
2135,08/29/2022,7Yr,3.21,0
2136,08/30/2022,7Yr,3.22,0
2137,08/31/2022,7Yr,3.25,0
2138,09/01/2022,7Yr,3.36,0
2139,09/02/2022,7Yr,3.29,0
2140,09/06/2022,7Yr,3.41,0
2141,09/07/2022,7Yr,3.35,0
2142,09/08/2022,7Yr,3.37,0
2143,09/09/2022,7Yr,3.42,0
2144,09/12/2022,7Yr,3.45,0
2145,09/13/2022,7Yr,3.53,0
2146,09/14/2022,7Yr,3.52,0
2147,09/15/2022,7Yr,3.59,0
2148,09/16/2022,7Yr,3.56,0
2149,09/19/2022,7Yr,3.62,0
2150,09/20/2022,7Yr,3.69,0
2151,09/21/2022,7Yr,3.65,0
2152,09/22/2022,7Yr,3.84,0
2153,09/23/2022,7Yr,3.85,0
2154,09/26/2022,7Yr,4.06,0
2155,09/27/2022,7Yr,4.14,0
2156,09/28/2022,7Yr,3.83,0
2157,09/29/2022,7Yr,3.89,0
2158,09/30/2022,7Yr,3.97,0
2159,10/03/2022,7Yr,3.79,0
2160,10/04/2022,7Yr,3.73,0
2161,10/05/2022,7Yr,3.87,0
2162,10/06/2022,7Yr,3.95,0
2163,10/07/2022,7Yr,4.03,0
2164,10/11/2022,7Yr,4.06,0
2165,10/12/2022,7Yr,4.03,0
2166,10/13/2022,7Yr,4.11,0
2167,10/14/2022,7Yr,4.15,0
2168,10/17/2022,7Yr,4.15,0
2169,10/18/2022,7Yr,4.12,0
2170,10/19/2022,7Yr,4.26,0
2171,10/20/2022,7Yr,4.36,0
2172,10/21/2022,7Yr,4.28,0
2173,10/24/2022,7Yr,4.31,0
2174,10/25/2022,7Yr,4.17,0
2175,10/26/2022,7Yr,4.12,0
2176,10/27/2022,7Yr,4.01,0
2177,10/28/2022,7Yr,4.1,0
2178,10/31/2022,7Yr,4.18,0
2179,11/01/2022,7Yr,4.18,0
2180,11/02/2022,7Yr,4.2,0
2181,11/03/2022,7Yr,4.26,0
2182,11/04/2022,7Yr,4.26,0
2183,11/07/2022,7Yr,4.31,0
2184,11/08/2022,7Yr,4.22,0
2185,11/09/2022,7Yr,4.2,0
2186,11/10/2022,7Yr,3.89,0
2187,11/14/2022,7Yr,3.95,0
2188,11/15/2022,7Yr,3.88,0
2189,11/16/2022,7Yr,3.77,0
2190,01/03/2022,10Yr,1.63,0
2191,01/04/2022,10Yr,1.66,0
2192,01/05/2022,10Yr,1.71,0
2193,01/06/2022,10Yr,1.73,0
2194,01/07/2022,10Yr,1.76,0
2195,01/10/2022,10Yr,1.78,0
2196,01/11/2022,10Yr,1.75,0
2197,01/12/2022,10Yr,1.74,0
2198,01/13/2022,10Yr,1.7,0
2199,01/14/2022,10Yr,1.78,0
2200,01/18/2022,10Yr,1.87,0
2201,01/19/2022,10Yr,1.83,0
2202,01/20/2022,10Yr,1.83,0
2203,01/21/2022,10Yr,1.75,0
2204,01/24/2022,10Yr,1.75,0
2205,01/25/2022,10Yr,1.78,0
2206,01/26/2022,10Yr,1.85,0
2207,01/27/2022,10Yr,1.81,0
2208,01/28/2022,10Yr,1.78,0
2209,01/31/2022,10Yr,1.79,0
2210,02/01/2022,10Yr,1.81,0
2211,02/02/2022,10Yr,1.78,0
2212,02/03/2022,10Yr,1.82,0
2213,02/04/2022,10Yr,1.93,0
2214,02/07/2022,10Yr,1.92,0
2215,02/08/2022,10Yr,1.96,0
2216,02/09/2022,10Yr,1.94,0
2217,02/10/2022,10Yr,2.03,0
2218,02/11/2022,10Yr,1.92,0
2219,02/14/2022,10Yr,1.98,0
2220,02/15/2022,10Yr,2.05,0
2221,02/16/2022,10Yr,2.03,0
2222,02/17/2022,10Yr,1.97,0
2223,02/18/2022,10Yr,1.92,0
2224,02/22/2022,10Yr,1.94,0
2225,02/23/2022,10Yr,1.99,0
2226,02/24/2022,10Yr,1.96,0
2227,02/25/2022,10Yr,1.97,0
2228,02/28/2022,10Yr,1.83,0
2229,03/01/2022,10Yr,1.72,0
2230,03/02/2022,10Yr,1.86,0
2231,03/03/2022,10Yr,1.86,0
2232,03/04/2022,10Yr,1.74,0
2233,03/07/2022,10Yr,1.78,0
2234,03/08/2022,10Yr,1.86,0
2235,03/09/2022,10Yr,1.94,0
2236,03/10/2022,10Yr,1.98,0
2237,03/11/2022,10Yr,2.0,0
2238,03/14/2022,10Yr,2.14,0
2239,03/15/2022,10Yr,2.15,0
2240,03/16/2022,10Yr,2.19,0
2241,03/17/2022,10Yr,2.2,0
2242,03/18/2022,10Yr,2.14,0
2243,03/21/2022,10Yr,2.32,0
2244,03/22/2022,10Yr,2.38,0
2245,03/23/2022,10Yr,2.32,0
2246,03/24/2022,10Yr,2.34,0
