,Date,Symbol,close_price,medrv
26876,05/02/2013,7Yr,1.07,0
26875,05/03/2013,7Yr,1.17,0
26874,05/06/2013,7Yr,1.19,0
26873,05/07/2013,7Yr,1.21,0
26872,05/08/2013,7Yr,1.2,0
26871,05/09/2013,7Yr,1.2,0
26870,05/10/2013,7Yr,1.28,0
26869,05/13/2013,7Yr,1.3,0
26868,05/14/2013,7Yr,1.33,0
26867,05/15/2013,7Yr,1.32,0
26866,05/16/2013,7Yr,1.25,0
26865,05/17/2013,7Yr,1.32,0
26864,05/20/2013,7Yr,1.33,0
26863,05/21/2013,7Yr,1.31,0
26862,05/22/2013,7Yr,1.4,0
26861,05/23/2013,7Yr,1.4,0
26860,05/24/2013,7Yr,1.39,0
26859,05/28/2013,7Yr,1.53,0
26858,05/29/2013,7Yr,1.51,0
26857,05/30/2013,7Yr,1.51,0
26856,05/31/2013,7Yr,1.55,0
26855,06/03/2013,7Yr,1.53,0
26854,06/04/2013,7Yr,1.55,0
26853,06/05/2013,7Yr,1.52,0
26852,06/06/2013,7Yr,1.49,0
26851,06/07/2013,7Yr,1.59,0
26850,06/10/2013,7Yr,1.62,0
26849,06/11/2013,7Yr,1.61,0
26848,06/12/2013,7Yr,1.64,0
26847,06/13/2013,7Yr,1.6,0
26846,06/14/2013,7Yr,1.53,0
26845,06/17/2013,7Yr,1.57,0
26844,06/18/2013,7Yr,1.58,0
26843,06/19/2013,7Yr,1.76,0
26842,06/20/2013,7Yr,1.84,0
26841,06/21/2013,7Yr,1.95,0
26840,06/24/2013,7Yr,2.02,0
26839,06/25/2013,7Yr,2.03,0
26838,06/26/2013,7Yr,1.98,0
26837,06/27/2013,7Yr,1.91,0
26836,06/28/2013,7Yr,1.96,0
26835,07/01/2013,7Yr,1.93,0
26834,07/02/2013,7Yr,1.92,0
26833,07/03/2013,7Yr,1.97,0
26832,07/05/2013,7Yr,2.19,0
26831,07/08/2013,7Yr,2.11,0
26830,07/09/2013,7Yr,2.08,0
26829,07/10/2013,7Yr,2.12,0
26828,07/11/2013,7Yr,1.99,0
26827,07/12/2013,7Yr,2.0,0
26826,07/15/2013,7Yr,1.97,0
26825,07/16/2013,7Yr,1.95,0
26824,07/17/2013,7Yr,1.91,0
26823,07/18/2013,7Yr,1.95,0
26822,07/19/2013,7Yr,1.9,0
26821,07/22/2013,7Yr,1.9,0
26820,07/23/2013,7Yr,1.92,0
26819,07/24/2013,7Yr,2.0,0
26818,07/25/2013,7Yr,2.0,0
26817,07/26/2013,7Yr,1.98,0
26816,07/29/2013,7Yr,2.0,0
26815,07/30/2013,7Yr,2.02,0
26814,07/31/2013,7Yr,2.0,0
26813,08/01/2013,7Yr,2.15,0
26812,08/02/2013,7Yr,2.01,0
26811,08/05/2013,7Yr,2.04,0
26810,08/06/2013,7Yr,2.04,0
26809,08/07/2013,7Yr,2.0,0
26808,08/08/2013,7Yr,1.98,0
26807,08/09/2013,7Yr,1.98,0
26806,08/12/2013,7Yr,2.01,0
26805,08/13/2013,7Yr,2.13,0
26804,08/14/2013,7Yr,2.12,0
26803,08/15/2013,7Yr,2.18,0
26802,08/16/2013,7Yr,2.25,0
26801,08/19/2013,7Yr,2.29,0
26800,08/20/2013,7Yr,2.22,0
26799,08/21/2013,7Yr,2.3,0
26798,08/22/2013,7Yr,2.34,0
26797,08/23/2013,7Yr,2.27,0
26796,08/26/2013,7Yr,2.23,0
26795,08/27/2013,7Yr,2.15,0
26794,08/28/2013,7Yr,2.22,0
26793,08/29/2013,7Yr,2.2,0
26792,08/30/2013,7Yr,2.24,0
26791,09/03/2013,7Yr,2.31,0
26790,09/04/2013,7Yr,2.36,0
26789,09/05/2013,7Yr,2.45,0
26788,09/06/2013,7Yr,2.38,0
26787,09/09/2013,7Yr,2.34,0
26786,09/10/2013,7Yr,2.4,0
26785,09/11/2013,7Yr,2.34,0
26784,09/12/2013,7Yr,2.34,0
26783,09/13/2013,7Yr,2.32,0
26782,09/16/2013,7Yr,2.27,0
26781,09/17/2013,7Yr,2.26,0
26780,09/18/2013,7Yr,2.05,0
26779,09/19/2013,7Yr,2.13,0
26778,09/20/2013,7Yr,2.13,0
26777,09/23/2013,7Yr,2.1,0
26776,09/24/2013,7Yr,2.05,0
26775,09/25/2013,7Yr,2.01,0
26774,09/26/2013,7Yr,2.05,0
26773,09/27/2013,7Yr,2.02,0
26772,09/30/2013,7Yr,2.02,0
26771,10/01/2013,7Yr,2.04,0
26770,10/02/2013,7Yr,2.01,0
26769,10/03/2013,7Yr,1.99,0
26768,10/04/2013,7Yr,2.05,0
26767,10/07/2013,7Yr,2.03,0
26766,10/08/2013,7Yr,2.05,0
26765,10/09/2013,7Yr,2.06,0
26764,10/10/2013,7Yr,2.09,0
26763,10/11/2013,7Yr,2.07,0
26762,10/15/2013,7Yr,2.11,0
26761,10/16/2013,7Yr,2.06,0
26760,10/17/2013,7Yr,1.98,0
26759,10/18/2013,7Yr,1.98,0
26758,10/21/2013,7Yr,2.01,0
26757,10/22/2013,7Yr,1.92,0
26756,10/23/2013,7Yr,1.9,0
26755,10/24/2013,7Yr,1.92,0
26754,10/25/2013,7Yr,1.9,0
26753,10/28/2013,7Yr,1.91,0
26752,10/29/2013,7Yr,1.9,0
26751,10/30/2013,7Yr,1.93,0
26750,10/31/2013,7Yr,1.95,0
26749,11/01/2013,7Yr,2.03,0
26748,11/04/2013,7Yr,2.01,0
26747,11/05/2013,7Yr,2.06,0
26746,11/06/2013,7Yr,2.02,0
26745,11/07/2013,7Yr,1.98,0
26744,11/08/2013,7Yr,2.12,0
26743,11/12/2013,7Yr,2.16,0
26742,11/13/2013,7Yr,2.1,0
26741,11/14/2013,7Yr,2.04,0
26740,11/15/2013,7Yr,2.06,0
26739,11/18/2013,7Yr,2.02,0
26738,11/19/2013,7Yr,2.06,0
26737,11/20/2013,7Yr,2.13,0
26736,11/21/2013,7Yr,2.12,0
26735,11/22/2013,7Yr,2.1,0
26734,11/25/2013,7Yr,2.08,0
26733,11/26/2013,7Yr,2.05,0
26732,11/27/2013,7Yr,2.08,0
26731,11/29/2013,7Yr,2.1,0
26730,12/02/2013,7Yr,2.16,0
26729,12/03/2013,7Yr,2.13,0
26728,12/04/2013,7Yr,2.19,0
26727,12/05/2013,7Yr,2.23,0
26726,12/06/2013,7Yr,2.23,0
26725,12/09/2013,7Yr,2.23,0
26724,12/10/2013,7Yr,2.17,0
26723,12/11/2013,7Yr,2.21,0
26722,12/12/2013,7Yr,2.26,0
26721,12/13/2013,7Yr,2.25,0
26720,12/16/2013,7Yr,2.26,0
26719,12/17/2013,7Yr,2.22,0
26718,12/18/2013,7Yr,2.26,0
26717,12/19/2013,7Yr,2.35,0
26716,12/20/2013,7Yr,2.33,0
26715,12/23/2013,7Yr,2.37,0
26714,12/24/2013,7Yr,2.43,0
26713,12/26/2013,7Yr,2.43,0
26712,12/27/2013,7Yr,2.44,0
26711,12/30/2013,7Yr,2.4,0
26710,12/31/2013,7Yr,2.45,0
26709,01/02/2014,7Yr,2.41,0
26708,01/03/2014,7Yr,2.42,0
26707,01/06/2014,7Yr,2.38,0
26706,01/07/2014,7Yr,2.37,0
26705,01/08/2014,7Yr,2.44,0
26704,01/09/2014,7Yr,2.41,0
26703,01/10/2014,7Yr,2.29,0
26702,01/13/2014,7Yr,2.25,0
26701,01/14/2014,7Yr,2.3,0
26700,01/15/2014,7Yr,2.33,0
26699,01/16/2014,7Yr,2.3,0
26698,01/17/2014,7Yr,2.27,0
26697,01/21/2014,7Yr,2.29,0
26696,01/22/2014,7Yr,2.34,0
26695,01/23/2014,7Yr,2.24,0
26694,01/24/2014,7Yr,2.2,0
26693,01/27/2014,7Yr,2.24,0
26692,01/28/2014,7Yr,2.22,0
26691,01/29/2014,7Yr,2.15,0
26690,01/30/2014,7Yr,2.19,0
26689,01/31/2014,7Yr,2.13,0
26688,02/03/2014,7Yr,2.07,0
26687,02/04/2014,7Yr,2.09,0
26686,02/05/2014,7Yr,2.14,0
26685,02/06/2014,7Yr,2.17,0
26684,02/07/2014,7Yr,2.13,0
26683,02/10/2014,7Yr,2.13,0
26682,02/11/2014,7Yr,2.19,0
26681,02/12/2014,7Yr,2.23,0
26680,02/13/2014,7Yr,2.16,0
26679,02/14/2014,7Yr,2.17,0
26678,02/18/2014,7Yr,2.14,0
26677,02/19/2014,7Yr,2.17,0
26676,02/20/2014,7Yr,2.2,0
26675,02/21/2014,7Yr,2.19,0
26674,02/24/2014,7Yr,2.2,0
26673,02/25/2014,7Yr,2.16,0
26672,02/26/2014,7Yr,2.12,0
26671,02/27/2014,7Yr,2.11,0
26670,02/28/2014,7Yr,2.13,0
26669,03/03/2014,7Yr,2.07,0
26668,03/04/2014,7Yr,2.17,0
26667,03/05/2014,7Yr,2.16,0
26666,03/06/2014,7Yr,2.2,0
26665,03/07/2014,7Yr,2.27,0
26664,03/10/2014,7Yr,2.26,0
26663,03/11/2014,7Yr,2.25,0
26662,03/12/2014,7Yr,2.2,0
26661,03/13/2014,7Yr,2.14,0
26660,03/14/2014,7Yr,2.14,0
26659,03/17/2014,7Yr,2.19,0
26658,03/18/2014,7Yr,2.16,0
26657,03/19/2014,7Yr,2.31,0
26656,03/20/2014,7Yr,2.31,0
26655,03/21/2014,7Yr,2.3,0
26654,03/24/2014,7Yr,2.31,0
26653,03/25/2014,7Yr,2.32,0
26652,03/26/2014,7Yr,2.27,0
26651,03/27/2014,7Yr,2.26,0
26650,03/28/2014,7Yr,2.31,0
26649,03/31/2014,7Yr,2.3,0
26648,04/01/2014,7Yr,2.32,0
26647,04/02/2014,7Yr,2.39,0
26646,04/03/2014,7Yr,2.38,0
26645,04/04/2014,7Yr,2.3,0
26644,04/07/2014,7Yr,2.27,0
26643,04/08/2014,7Yr,2.24,0
26642,04/09/2014,7Yr,2.24,0
26641,04/10/2014,7Yr,2.17,0
26640,04/11/2014,7Yr,2.16,0
26639,04/14/2014,7Yr,2.18,0
26638,04/15/2014,7Yr,2.18,0
26637,04/16/2014,7Yr,2.21,0
26636,04/17/2014,7Yr,2.31,0
26635,04/21/2014,7Yr,2.31,0
26634,04/22/2014,7Yr,2.31,0
26633,04/23/2014,7Yr,2.28,0
26632,04/24/2014,7Yr,2.3,0
26631,04/25/2014,7Yr,2.28,0
26630,04/28/2014,7Yr,2.29,0
26629,04/29/2014,7Yr,2.29,0
26628,04/30/2014,7Yr,2.25,0
26627,05/01/2014,7Yr,2.21,0
26626,05/02/2014,7Yr,2.2,0
26625,05/05/2014,7Yr,2.22,0
26624,05/06/2014,7Yr,2.2,0
26623,05/07/2014,7Yr,2.18,0
26622,05/08/2014,7Yr,2.16,0
26621,05/09/2014,7Yr,2.17,0
26620,05/12/2014,7Yr,2.21,0
26619,05/13/2014,7Yr,2.16,0
26618,05/14/2014,7Yr,2.1,0
26617,05/15/2014,7Yr,2.05,0
26616,05/16/2014,7Yr,2.08,0
26615,05/19/2014,7Yr,2.09,0
26614,05/20/2014,7Yr,2.06,0
26613,05/21/2014,7Yr,2.08,0
26612,05/22/2014,7Yr,2.1,0
26611,05/23/2014,7Yr,2.09,0
26610,05/27/2014,7Yr,2.08,0
26609,05/28/2014,7Yr,2.01,0
26608,05/29/2014,7Yr,2.03,0
26607,05/30/2014,7Yr,2.06,0
26606,06/02/2014,7Yr,2.12,0
26605,06/03/2014,7Yr,2.18,0
26604,06/04/2014,7Yr,2.2,0
26603,06/05/2014,7Yr,2.17,0
